,symbol,timestamp,base,quote,bid_price,bid_volume,ask_price,ask_volume
144,QNT/USDT,2023-03-12 20:43:55.975,QNT,USDT,120.8,3.511,121.3,1.818
145,STG/USDT,2023-03-12 20:43:56.041,STG,USDT,0.6766,420.5,0.6822,712.7
146,AXL/USDT,2023-03-12 20:43:56.106,AXL,USDT,0.624,194.0,0.626,196.5
147,KAVA/USDT,2023-03-12 20:43:56.174,KAVA,USDT,0.945,592.6,0.95,1024.4
148,APT/USDT,2023-03-12 20:43:56.238,APT,USDT,10.5712,11.68,10.5888,25.63
149,MASK/USDT,2023-03-12 20:43:56.308,MASK,USDT,2.955,262.0,2.96,9.5
150,BOSON/USDT,2023-03-12 20:43:56.374,BOSON,USDT,0.2026,126.7,0.2047,107.2
151,POND/USDT,2023-03-12 20:43:56.432,POND,USDT,0.00887,32212.7,0.00892,40296.97
152,MXC/USDT,2023-03-12 20:43:56.495,MXC,USDT,0.01964,3143.0,0.0197,3133.0
153,JAM/USDT,2023-03-12 20:43:56.557,JAM,USDT,0.002787,61355.0,0.002802,61583.0
154,TRAC/USDT,2023-03-12 20:43:56.624,TRAC,USDT,0.304,81.0,0.3079,12.0
155,PROM/USDT,2023-03-12 20:43:56.721,PROM,USDT,4.26,80.77,4.28,79.66
156,DIA/USDT,2023-03-12 20:43:56.802,DIA,USDT,0.328,1000.9,0.331,1005.9
157,LOOM/USDT,2023-03-12 20:43:56.866,LOOM,USDT,0.05826,5431.0,0.05867,10734.0
158,STMX/USDT,2023-03-12 20:43:56.933,STMX,USDT,0.005226,60424.0,0.005251,60583.0
159,BTC/BUSD,2023-03-12 20:43:56.999,BTC,BUSD,21302.39,0.01,21311.05,0.11973
160,ZIL/BUSD,2023-03-12 20:43:57.058,ZIL,BUSD,0.02333,18963.3,0.0234,15587.5
161,BNB/BUSD,2023-03-12 20:43:57.124,BNB,BUSD,281.4,3.647,281.9,0.449
162,ETH/BUSD,2023-03-12 20:43:57.274,ETH,BUSD,1543.59,0.63,1544.46,0.315
163,ALGO/BUSD,2023-03-12 20:43:57.345,ALGO,BUSD,0.1918,3279.0,0.1924,4362.0
164,XTZ/BUSD,2023-03-12 20:43:57.416,XTZ,BUSD,1.019,429.1,1.023,887.2
165,HBAR/BUSD,2023-03-12 20:43:57.489,HBAR,BUSD,0.0579,4883.0,0.0581,5000.0
166,OMG/BUSD,2023-03-12 20:43:57.558,OMG,BUSD,1.2811,913.63,1.2862,654.61
167,MATIC/BUSD,2023-03-12 20:43:57.624,MATIC,BUSD,1.1004,18.0,1.1018,50.0
168,EOS/BUSD,2023-03-12 20:43:57.765,EOS,BUSD,1.0118,418.03,1.0151,260.88
169,ONE/BUSD,2023-03-12 20:43:57.879,ONE,BUSD,0.0164,24162.5,0.01646,21574.3
170,SHIB/BUSD,2023-03-12 20:43:57.952,SHIB,BUSD,1.043e-05,113764072.0,1.047e-05,147254631.0
171,USDC/BUSD,2023-03-12 20:43:58.025,USDC,BUSD,0.9588,16.09,0.966,25.72
172,MANA/BUSD,2023-03-12 20:43:58.102,MANA,BUSD,0.5445,1138.0,0.5463,2015.0
173,ADA/BUSD,2023-03-12 20:43:58.184,ADA,BUSD,0.3191,992.5,0.3198,362.4
174,SOL/BUSD,2023-03-12 20:43:58.252,SOL,BUSD,18.72,44.02,18.78,29.84
175,NEAR/BUSD,2023-03-12 20:43:58.324,NEAR,BUSD,1.872,200.5,1.878,180.8
176,LPT/BUSD,2023-03-12 20:43:58.392,LPT,BUSD,5.17,48.21,5.2,47.82
177,TRX/BUSD,2023-03-12 20:43:58.522,TRX,BUSD,0.06102,46921.7,0.06119,12538.1
178,BTC/USDC,2023-03-12 20:43:58.593,BTC,USDC,22111.46,0.01,22136.44,0.01165
179,ETH/USDC,2023-03-12 20:43:58.662,ETH,USDC,1602.12,0.1,1604.19,0.2608
180,SOL/USDC,2023-03-12 20:43:58.726,SOL,USDC,19.45,2.84,19.53,13.23
181,ADA/USDC,2023-03-12 20:43:58.793,ADA,USDC,0.3002,1603.0,0.3323,777.4
182,BTC/DAI,2023-03-12 20:43:58.869,BTC,DAI,21801.82,0.05001,21801.83,7e-05
183,ETH/DAI,2023-03-12 20:43:58.956,ETH,DAI,1604.55,0.5037,1607.74,0.9011
184,BTC/USD,2023-03-12 20:43:59.104,BTC,USD,21443.29,0.00224,21449.49,0.02331
185,ETH/USD,2023-03-12 20:43:59.181,ETH,USD,1554.13,1.0416,1554.5,0.6714
186,BCH/USD,2023-03-12 20:43:59.254,BCH,USD,119.0,3.222,119.2,13.506
187,LTC/USD,2023-03-12 20:43:59.326,LTC,USD,73.49,7.0,73.54,14.552
188,USDT/USD,2023-03-12 20:43:59.398,USDT,USD,1.0126,151.0,1.0127,6389.0
189,BNB/USD,2023-03-12 20:43:59.475,BNB,USD,283.3,4.431,283.5,3.75
190,ADA/USD,2023-03-12 20:43:59.562,ADA,USD,0.3215,3200.0,0.3216,14894.8
191,BAT/USD,2023-03-12 20:43:59.632,BAT,USD,0.2156,4767.0,0.2163,1193.0
192,ETC/USD,2023-03-12 20:43:59.708,ETC,USD,17.76,38.0,17.79,0.06
193,XLM/USD,2023-03-12 20:43:59.776,XLM,USD,0.0807,17059.0,0.081,5000.0
194,ZRX/USD,2023-03-12 20:43:59.850,ZRX,USD,0.2032,1152.0,0.204,1733.0
195,LINK/USD,2023-03-12 20:43:59.925,LINK,USD,6.419,100.0,6.422,80.0
196,RVN/USD,2023-03-12 20:43:59.998,RVN,USD,0.0234,149247.8,0.0236,194735.9
197,DASH/USD,2023-03-12 20:44:00.065,DASH,USD,49.63,0.3294,49.7,0.07611
198,ZEC/USD,2023-03-12 20:44:00.129,ZEC,USD,33.0,9.076,33.3,7.153
199,ALGO/USD,2023-03-12 20:44:00.199,ALGO,USD,0.1935,5300.0,0.1936,2301.0
200,IOTA/USD,2023-03-12 20:44:00.271,IOTA,USD,0.1973,500.0,0.1983,1499.0
201,BUSD/USD,2023-03-12 20:44:00.338,BUSD,USD,1.0046,839.0,1.0075,3000.0
202,WAVES/USD,2023-03-12 20:44:00.415,WAVES,USD,2.013,282.0,2.016,3809.19
203,ATOM/USD,2023-03-12 20:44:00.479,ATOM,USD,11.425,29.7,11.428,22.5
204,NEO/USD,2023-03-12 20:44:00.549,NEO,USD,9.798,23.893,9.838,63.854
205,QTUM/USD,2023-03-12 20:44:00.615,QTUM,USD,2.594,39.6,2.598,178.1
206,ICX/USD,2023-03-12 20:44:00.685,ICX,USD,0.1888,1585.04,0.1895,9314.53
